epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,766.782,1.05868,0.33367,0.00171,0.95446,0.9915,0.96,0.79395,0.71356,0.24372,0.00166,0.0009605,0.0009605,0.0009605
44,782.796,1.03372,0.33477,0.00185,0.94698,0.98925,0.96008,0.80987,0.71399,0.2634,0.00165,0.00093575,0.00093575,0.00093575
45,799.046,1.02856,0.32308,0.00181,0.95552,0.99329,0.96098,0.79704,0.72587,0.23803,0.00172,0.000911,0.000911,0.000911
46,815.055,1.00757,0.316,0.0018,0.95742,0.99355,0.95633,0.80055,0.68391,0.23192,0.00158,0.00088625,0.00088625,0.00088625
47,831.174,1.02378,0.32153,0.0018,0.95347,0.99146,0.95549,0.78722,0.72825,0.24609,0.00164,0.0008615,0.0008615,0.0008615
48,847.321,1.00409,0.31463,0.00174,0.95644,0.99166,0.95563,0.80399,0.67823,0.23274,0.00155,0.00083675,0.00083675,0.00083675
49,863.363,1.01561,0.3149,0.00171,0.95747,0.99244,0.95716,0.80818,0.67719,0.22874,0.00157,0.000812,0.000812,0.000812
50,879.485,1.01637,0.32063,0.00173,0.95549,0.99355,0.95463,0.79043,0.72959,0.23495,0.00168,0.00078725,0.00078725,0.00078725
51,895.601,1.00371,0.31884,0.00177,0.95837,0.99018,0.95749,0.80888,0.668,0.22641,0.00157,0.0007625,0.0007625,0.0007625
52,914.038,1.01745,0.33186,0.00177,0.9555,0.99355,0.95583,0.79214,0.69893,0.23296,0.00166,0.00073775,0.00073775,0.00073775
53,930.312,0.99723,0.3188,0.00166,0.95932,0.989,0.9558,0.81812,0.62891,0.21956,0.00152,0.000713,0.000713,0.000713
54,947.023,0.97345,0.3086,0.00169,0.95647,0.99231,0.95569,0.8167,0.64974,0.22208,0.00157,0.00068825,0.00068825,0.00068825
55,963.115,1.0008,0.31696,0.00174,0.95552,0.99324,0.95528,0.80549,0.66434,0.22644,0.00153,0.0006635,0.0006635,0.0006635
56,979.149,0.98387,0.31002,0.00169,0.95255,0.99299,0.95272,0.79387,0.68696,0.2415,0.0016,0.00063875,0.00063875,0.00063875
57,995.34,1.0018,0.31913,0.00168,0.95543,0.99108,0.9577,0.81621,0.65093,0.22956,0.0015,0.000614,0.000614,0.000614
58,1011.57,0.97932,0.30675,0.00172,0.95782,0.98925,0.95543,0.78381,0.75517,0.24625,0.00168,0.00058925,0.00058925,0.00058925
59,1031.09,0.99264,0.30787,0.00169,0.95646,0.99203,0.95977,0.80728,0.67416,0.22905,0.00154,0.0005645,0.0005645,0.0005645
60,1057.22,0.97662,0.30533,0.0017,0.95668,0.9914,0.95858,0.79289,0.70909,0.2344,0.00164,0.00053975,0.00053975,0.00053975
61,1082.29,0.85935,0.26272,0.00184,0.95746,0.98925,0.96318,0.82103,0.64962,0.23076,0.00149,0.000515,0.000515,0.000515
62,1100.58,0.8605,0.25593,0.00183,0.95442,0.99247,0.95509,0.78934,0.72576,0.24232,0.00169,0.00049025,0.00049025,0.00049025
